t,pos,vel,u,pref
4.29,0.856124,0.108875,0.883012, 1
4.3,0.857212,0.108055,0.883012, 1
4.31,0.858293,0.107314,0.891125, 1
4.32,0.859366,0.106569,0.891125, 1
4.33,0.860432,0.105821,0.891125, 1
4.34,0.86149,0.105069,0.891125, 1
4.35,0.862541,0.104315,0.891125, 1
4.36,0.863584,0.103558,0.891125, 1
4.37,0.864619,0.102798,0.891125, 1
4.38,0.865647,0.102035,0.891125, 1
4.39,0.866668,0.101269,0.891125, 1
4.4,0.86768,0.100501,0.891125, 1
4.41,0.868685,0.0998065,0.898731, 1
4.42,0.869683,0.0991088,0.898731, 1
4.43,0.870675,0.0984082,0.898731, 1
4.44,0.871659,0.0977047,0.898731, 1
4.45,0.872636,0.0969984,0.898731, 1
4.46,0.873606,0.0962894,0.898731, 1
4.47,0.874569,0.0955777,0.898731, 1
4.48,0.875524,0.0948636,0.898731, 1
4.49,0.876473,0.094147,0.898731, 1
4.5,0.877414,0.0934281,0.898731, 1
4.51,0.878349,0.0927782,0.905853, 1
4.52,0.879276,0.0921255,0.905853, 1
4.53,0.880198,0.09147,0.905853, 1
4.54,0.881112,0.0908118,0.905853, 1
4.55,0.882021,0.0901511,0.905853, 1
4.56,0.882922,0.0894879,0.905853, 1
4.57,0.883817,0.0888224,0.905853, 1
4.58,0.884705,0.0881545,0.905853, 1
4.59,0.885587,0.0874844,0.905853, 1
4.6,0.886462,0.0868123,0.905853, 1
4.61,0.88733,0.0862047,0.912516, 1
4.62,0.888192,0.0855945,0.912516, 1
4.63,0.889048,0.0849818,0.912516, 1
4.64,0.889897,0.0843666,0.912516, 1
4.65,0.890741,0.0837492,0.912516, 1
4.66,0.891579,0.0831294,0.912516, 1
4.67,0.89241,0.0825075,0.912516, 1
4.68,0.893235,0.0818835,0.912516, 1
4.69,0.894054,0.0812574,0.912516, 1
4.7,0.894866,0.0806295,0.912516, 1
4.71,0.895673,0.0800619,0.918743, 1
4.72,0.896473,0.079492,0.918743, 1
4.73,0.897268,0.0789198,0.918743, 1
4.74,0.898057,0.0783453,0.918743, 1
4.75,0.898841,0.0777687,0.918743, 1
4.76,0.899619,0.0771901,0.918743, 1
4.77,0.90039,0.0766094,0.918743, 1
4.78,0.901157,0.0760268,0.918743, 1
4.79,0.901917,0.0754424,0.918743, 1
4.8,0.902671,0.0748563,0.918743, 1
4.81,0.90342,0.0743266,0.924558, 1
4.82,0.904163,0.0737947,0.924558, 1
4.83,0.904901,0.0732607,0.924558, 1
4.84,0.905634,0.0727246,0.924558, 1
4.85,0.906361,0.0721866,0.924558, 1
4.86,0.907083,0.0716467,0.924558, 1
